Episode,Scenario,Condition,CM_LateralDeviation_m,Observed_LateralDeviation_m,RelativeDegradation_percent
97,A,RM,0.48,0.5674,18.22
97,A,RA,0.4632,0.7073,52.7
98,A,RM,0.4859,0.6373,31.16
98,A,RA,0.4853,0.6663,37.28
99,A,RM,0.4829,0.6192,28.23
99,A,RA,0.4814,0.6563,36.32
100,A,RM,0.4707,0.628,33.42
100,A,RA,0.4778,0.6797,42.26
101,A,RM,0.4813,0.5931,23.24
101,A,RA,0.4867,0.6459,32.7
102,A,RM,0.4808,0.6224,29.46
102,A,RA,0.4817,0.6614,37.29
103,A,RM,0.474,0.6146,29.67
103,A,RA,0.4833,0.6658,37.76
104,A,RM,0.4699,0.5995,27.58
104,A,RA,0.4727,0.7049,49.14
105,A,RM,0.4732,0.5795,22.48
105,A,RA,0.4948,0.6758,36.57
106,A,RM,0.4854,0.5993,23.47
106,A,RA,0.4566,0.6684,46.39
107,A,RM,0.4801,0.6099,27.03
107,A,RA,0.4821,0.6925,43.64
108,A,RM,0.4721,0.6161,30.48
108,A,RA,0.4781,0.6598,38.0
109,A,RM,0.4754,0.6204,30.5
109,A,RA,0.4808,0.6924,44.0
110,A,RM,0.4818,0.5979,24.09
110,A,RA,0.4734,0.6418,35.56
111,A,RM,0.4832,0.5868,21.44
111,A,RA,0.4799,0.7029,46.48
112,A,RM,0.4905,0.6121,24.79
112,A,RA,0.49,0.657,34.08
113,A,RM,0.468,0.5936,26.82
113,A,RA,0.5038,0.6725,33.47
114,A,RM,0.4754,0.5935,24.86
114,A,RA,0.4728,0.6575,39.07
115,A,RM,0.487,0.6207,27.44
115,A,RA,0.4729,0.6817,44.15
116,A,RM,0.4718,0.6207,31.55
116,A,RA,0.4788,0.6513,36.03
117,A,RM,0.4768,0.6049,26.86
117,A,RA,0.4879,0.6729,37.92
118,A,RM,0.4732,0.5852,23.66
118,A,RA,0.4755,0.6714,41.19
119,A,RM,0.4832,0.6226,28.86
119,A,RA,0.4846,0.6728,38.83
120,A,RM,0.4701,0.6098,29.71
120,A,RA,0.4844,0.6408,32.29
121,A,RM,0.482,0.587,21.79
121,A,RA,0.4933,0.6913,40.14
122,A,RM,0.473,0.6203,31.15
122,A,RA,0.4691,0.6691,42.64
123,A,RM,0.4794,0.6066,26.53
123,A,RA,0.4892,0.6611,35.12
124,A,RM,0.4842,0.6054,25.03
124,A,RA,0.4867,0.6456,32.65
125,A,RM,0.4781,0.5865,22.67
125,A,RA,0.4683,0.6696,42.98
126,A,RM,0.4902,0.6113,24.7
126,A,RA,0.4784,0.6592,37.79
127,A,RM,0.4881,0.6045,23.86
127,A,RA,0.4738,0.6802,43.56
128,A,RM,0.4849,0.5897,21.62
128,A,RA,0.4815,0.6358,32.05
129,A,RM,0.477,0.6196,29.88
129,A,RA,0.4622,0.6772,46.51
130,A,RM,0.4724,0.5993,26.85
130,A,RA,0.4906,0.6932,41.28
131,A,RM,0.4785,0.6263,30.89
131,A,RA,0.4761,0.6858,44.05
132,A,RM,0.4825,0.6182,28.13
132,A,RA,0.4794,0.6487,35.32
133,A,RM,0.4848,0.6072,25.26
133,A,RA,0.4853,0.7021,44.68
134,A,RM,0.4869,0.5995,23.12
134,A,RA,0.481,0.6574,36.68
135,A,RM,0.4878,0.6134,25.75
135,A,RA,0.4897,0.6614,35.06
136,A,RM,0.4764,0.6051,27.03
136,A,RA,0.4941,0.6839,38.41
137,A,RM,0.4761,0.6172,29.63
137,A,RA,0.4927,0.691,40.24
138,A,RM,0.4846,0.5993,23.68
138,A,RA,0.4983,0.6715,34.77
139,A,RM,0.4855,0.608,25.23
139,A,RA,0.4754,0.6754,42.06
140,A,RM,0.4782,0.5977,24.99
140,A,RA,0.4814,0.6996,45.32
141,A,RM,0.4825,0.5932,22.95
141,A,RA,0.4869,0.6665,36.88
142,A,RM,0.4851,0.5983,23.34
142,A,RA,0.4827,0.6887,42.66
143,A,RM,0.4974,0.5976,20.15
143,A,RA,0.4835,0.6811,40.88
144,A,RM,0.4824,0.5936,23.06
144,A,RA,0.4791,0.6771,41.33
145,A,RM,0.4935,0.6122,24.06
145,A,RA,0.4639,0.6738,45.24
146,A,RM,0.4875,0.6064,24.4
146,A,RA,0.479,0.6768,41.3
147,A,RM,0.4693,0.6012,28.1
147,A,RA,0.4805,0.6907,43.75
148,A,RM,0.4736,0.5973,26.11
148,A,RA,0.4876,0.6636,36.08
149,A,RM,0.479,0.6084,27.0
149,A,RA,0.4804,0.6724,39.97
150,A,RM,0.4941,0.6225,25.98
150,A,RA,0.4908,0.6698,36.47
151,A,RM,0.4807,0.5724,19.08
151,A,RA,0.4763,0.6595,38.48
152,A,RM,0.4853,0.6381,31.48
152,A,RA,0.4793,0.6782,41.5
153,A,RM,0.4726,0.612,29.5
153,A,RA,0.4781,0.6748,41.13
154,A,RM,0.4666,0.5904,26.52
154,A,RA,0.4736,0.6953,46.8
155,A,RM,0.4825,0.5966,23.67
155,A,RA,0.4683,0.6944,48.28
156,A,RM,0.4893,0.5989,22.41
156,A,RA,0.4826,0.691,43.17
157,A,RM,0.4847,0.5751,18.66
157,A,RA,0.4894,0.6517,33.16
158,A,RM,0.4751,0.615,29.45
158,A,RA,0.4904,0.6751,37.66
159,A,RM,0.4711,0.5932,25.94
159,A,RA,0.4805,0.6907,43.74
160,A,RM,0.4557,0.6196,35.97
160,A,RA,0.4805,0.6734,40.15
161,A,RM,0.4663,0.6086,30.52
161,A,RA,0.4967,0.6672,34.34
162,A,RM,0.479,0.6195,29.34
162,A,RA,0.4829,0.6863,42.12
163,A,RM,0.4817,0.6322,31.25
163,A,RA,0.4814,0.6452,34.04
164,A,RM,0.4851,0.61,25.76
164,A,RA,0.466,0.6807,46.08
165,A,RM,0.4891,0.6274,28.28
165,A,RA,0.4967,0.6687,34.65
166,A,RM,0.4794,0.5863,22.31
166,A,RA,0.491,0.7043,43.43
167,A,RM,0.4707,0.6391,35.78
167,A,RA,0.4784,0.6877,43.76
168,A,RM,0.4778,0.6147,28.65
168,A,RA,0.4753,0.701,47.49
169,A,RM,0.4856,0.5966,22.86
169,A,RA,0.477,0.6579,37.93
170,A,RM,0.4886,0.6102,24.88
170,A,RA,0.4669,0.6858,46.89
171,A,RM,0.4669,0.5931,27.04
171,A,RA,0.4782,0.6699,40.09
172,A,RM,0.4694,0.6006,27.95
172,A,RA,0.4795,0.6878,43.43
173,A,RM,0.4871,0.6213,27.54
173,A,RA,0.4708,0.7039,49.54
174,A,RM,0.4552,0.5721,25.69
174,A,RA,0.4954,0.7011,41.52
175,A,RM,0.4738,0.6348,34.0
175,A,RA,0.4709,0.6715,42.6
176,A,RM,0.4805,0.612,27.37
176,A,RA,0.4827,0.6772,40.27
177,A,RM,0.4703,0.5916,25.79
177,A,RA,0.4699,0.6801,44.74
178,A,RM,0.4839,0.605,25.03
178,A,RA,0.4895,0.6797,38.86
179,A,RM,0.47,0.5862,24.72
179,A,RA,0.4793,0.6968,45.39
180,A,RM,0.4846,0.6093,25.74
180,A,RA,0.4775,0.6945,45.44
181,A,RM,0.4919,0.6088,23.76
181,A,RA,0.4806,0.7052,46.74
182,A,RM,0.4851,0.617,27.19
182,A,RA,0.4771,0.6615,38.65
183,A,RM,0.4775,0.5877,23.09
183,A,RA,0.4795,0.6526,36.1
184,A,RM,0.4765,0.6055,27.07
184,A,RA,0.4881,0.6931,42.0
185,A,RM,0.4724,0.5924,25.39
185,A,RA,0.4843,0.671,38.55
186,A,RM,0.4754,0.6008,26.4
186,A,RA,0.4865,0.625,28.48
187,A,RM,0.4855,0.6397,31.77
187,A,RA,0.4785,0.6777,41.64
188,A,RM,0.471,0.6037,28.16
188,A,RA,0.4849,0.6698,38.14
189,A,RM,0.481,0.5737,19.27
189,A,RA,0.4925,0.6673,35.5
190,A,RM,0.4705,0.6128,30.25
190,A,RA,0.4837,0.6732,39.16
191,A,RM,0.4753,0.6131,29.0
191,A,RA,0.4827,0.6618,37.11
192,A,RM,0.4839,0.6035,24.71
192,A,RA,0.4826,0.6576,36.27
193,A,RM,0.4858,0.6074,25.02
193,A,RA,0.4835,0.667,37.95
194,A,RM,0.4852,0.596,22.83
194,A,RA,0.4744,0.695,46.5
195,A,RM,0.4665,0.5877,25.98
195,A,RA,0.4851,0.6528,34.58
196,A,RM,0.4835,0.6307,30.45
196,A,RA,0.4756,0.6722,41.34
197,A,RM,0.475,0.5963,25.55
197,A,RA,0.4862,0.6639,36.56
198,A,RM,0.4855,0.6521,34.3
198,A,RA,0.4827,0.6544,35.57
199,A,RM,0.4904,0.6105,24.49
199,A,RA,0.4668,0.6867,47.12
200,A,RM,0.4843,0.5987,23.61
200,A,RA,0.487,0.6549,34.49
201,A,RM,0.476,0.5942,24.84
201,A,RA,0.4759,0.6406,34.59
202,A,RM,0.4834,0.6255,29.39
202,A,RA,0.4836,0.6682,38.16
203,A,RM,0.4807,0.6325,31.58
203,A,RA,0.4844,0.7004,44.6
204,A,RM,0.4831,0.5796,19.98
204,A,RA,0.4755,0.702,47.64
205,A,RM,0.4718,0.6171,30.8
205,A,RA,0.475,0.6465,36.09
206,A,RM,0.489,0.5769,17.98
206,A,RA,0.4757,0.6447,35.52
207,A,RM,0.4831,0.6103,26.33
207,A,RA,0.474,0.6612,39.49
208,A,RM,0.4739,0.6165,30.1
208,A,RA,0.4847,0.6573,35.63
209,A,RM,0.4739,0.61,28.7
209,A,RA,0.4707,0.6731,43.02
210,A,RM,0.4894,0.5884,20.24
210,A,RA,0.4802,0.6613,37.72
211,A,RM,0.4848,0.6169,27.24
211,A,RA,0.4833,0.6371,31.82
212,A,RM,0.4825,0.5954,23.41
212,A,RA,0.4912,0.6893,40.34
213,A,RM,0.4721,0.5988,26.83
213,A,RA,0.4825,0.6674,38.32
214,A,RM,0.4857,0.6135,26.31
214,A,RA,0.486,0.6832,40.56
215,A,RM,0.4823,0.6044,25.33
215,A,RA,0.4819,0.6517,35.24
216,A,RM,0.4779,0.6212,29.97
216,A,RA,0.4772,0.6631,38.96
217,A,RM,0.4822,0.6061,25.7
217,A,RA,0.4838,0.6514,34.62
218,A,RM,0.4645,0.6522,40.38
218,A,RA,0.4797,0.6441,34.27
219,A,RM,0.501,0.615,22.75
219,A,RA,0.4731,0.6776,43.24
220,A,RM,0.4866,0.6096,25.28
220,A,RA,0.4826,0.6995,44.95
221,A,RM,0.477,0.612,28.29
221,A,RA,0.4732,0.7013,48.19
222,A,RM,0.4736,0.6477,36.75
222,A,RA,0.4744,0.6649,40.15
223,A,RM,0.4901,0.61,24.47
223,A,RA,0.483,0.6775,40.28
224,A,RM,0.4711,0.6307,33.88
224,A,RA,0.4668,0.6916,48.16
225,A,RM,0.482,0.5996,24.38
225,A,RA,0.4808,0.698,45.18
226,A,RM,0.4973,0.592,19.05
226,A,RA,0.487,0.6985,43.45
227,A,RM,0.4839,0.5811,20.09
227,A,RA,0.4867,0.6788,39.48
228,A,RM,0.4877,0.6017,23.38
228,A,RA,0.467,0.6723,43.94
229,A,RM,0.4765,0.5981,25.5
229,A,RA,0.4746,0.6995,47.39
230,A,RM,0.4871,0.5991,22.98
230,A,RA,0.473,0.6806,43.9
231,A,RM,0.4759,0.6117,28.55
231,A,RA,0.4682,0.6795,45.12
232,A,RM,0.4753,0.5953,25.24
232,A,RA,0.482,0.7027,45.81
233,A,RM,0.4864,0.6133,26.1
233,A,RA,0.4814,0.6891,43.16
234,A,RM,0.4763,0.5995,25.87
234,A,RA,0.4671,0.6507,39.3
235,A,RM,0.4884,0.6488,32.83
235,A,RA,0.4757,0.6584,38.41
236,A,RM,0.4868,0.5938,21.98
236,A,RA,0.481,0.6653,38.31
237,A,RM,0.4769,0.6599,38.39
237,A,RA,0.4796,0.6628,38.2
238,A,RM,0.4887,0.638,30.54
238,A,RA,0.4844,0.6457,33.28
239,A,RM,0.484,0.6028,24.55
239,A,RA,0.4835,0.6859,41.85
240,A,RM,0.4808,0.6098,26.84
240,A,RA,0.4709,0.6793,44.26
241,A,RM,0.4696,0.5653,20.39
241,A,RA,0.4813,0.667,38.6
242,A,RM,0.4884,0.6183,26.6
242,A,RA,0.4795,0.6625,38.17
243,A,RM,0.4746,0.5919,24.7
243,A,RA,0.4795,0.6626,38.2
244,A,RM,0.4806,0.6229,29.61
244,A,RA,0.4865,0.681,39.99
245,A,RM,0.4808,0.6214,29.25
245,A,RA,0.4868,0.6818,40.06
246,A,RM,0.4731,0.6196,30.97
246,A,RA,0.47,0.6788,44.42
247,A,RM,0.488,0.6051,24.0
247,A,RA,0.488,0.6856,40.5
248,A,RM,0.4864,0.618,27.07
248,A,RA,0.4833,0.6586,36.28
249,A,RM,0.4723,0.6,27.05
249,A,RA,0.4891,0.6745,37.89
250,A,RM,0.4656,0.5805,24.68
250,A,RA,0.4783,0.6598,37.96
251,A,RM,0.486,0.6098,25.46
251,A,RA,0.4908,0.6535,33.15
252,A,RM,0.4826,0.6041,25.19
252,A,RA,0.4684,0.675,44.11
253,A,RM,0.4681,0.5678,21.31
253,A,RA,0.4892,0.6576,34.43
254,A,RM,0.479,0.5998,25.2
254,A,RA,0.4759,0.676,42.06
255,A,RM,0.4697,0.6085,29.54
255,A,RA,0.4884,0.6606,35.25
256,A,RM,0.4729,0.6321,33.66
256,A,RA,0.4801,0.6551,36.44
257,A,RM,0.4763,0.6106,28.21
257,A,RA,0.4906,0.6622,34.96
258,A,RM,0.4869,0.585,20.15
258,A,RA,0.4742,0.6656,40.36
259,A,RM,0.48,0.6275,30.74
259,A,RA,0.481,0.6801,41.38
260,A,RM,0.4851,0.5804,19.65
260,A,RA,0.4792,0.6825,42.43
261,A,RM,0.4778,0.6233,30.44
261,A,RA,0.4716,0.682,44.61
262,A,RM,0.4925,0.6238,26.65
262,A,RA,0.4848,0.6613,36.39
263,A,RM,0.482,0.5881,22.02
263,A,RA,0.4863,0.6608,35.89
264,A,RM,0.4792,0.596,24.38
264,A,RA,0.4857,0.7051,45.17
265,A,RM,0.4689,0.6045,28.92
265,A,RA,0.4782,0.6397,33.77
266,A,RM,0.4854,0.589,21.34
266,A,RA,0.4715,0.6856,45.41
267,A,RM,0.4937,0.629,27.42
267,A,RA,0.489,0.6918,41.48
268,A,RM,0.4774,0.6034,26.4
268,A,RA,0.4846,0.686,41.55
269,A,RM,0.4855,0.5957,22.68
269,A,RA,0.4779,0.7138,49.37
270,A,RM,0.4662,0.5984,28.35
270,A,RA,0.4954,0.6791,37.09
271,A,RM,0.4798,0.5937,23.74
271,A,RA,0.4808,0.6794,41.31
272,A,RM,0.486,0.5743,18.17
272,A,RA,0.4763,0.6797,42.7
273,A,RM,0.4792,0.6265,30.74
273,A,RA,0.4803,0.6796,41.49
274,A,RM,0.4726,0.5859,23.97
274,A,RA,0.4751,0.6672,40.44
275,A,RM,0.483,0.6062,25.52
275,A,RA,0.479,0.6889,43.83
276,A,RM,0.4779,0.6298,31.8
276,A,RA,0.4758,0.6742,41.71
277,A,RM,0.4718,0.5693,20.64
277,A,RA,0.4842,0.6666,37.66
278,A,RM,0.5041,0.6078,20.56
278,A,RA,0.473,0.6759,42.9
279,A,RM,0.4655,0.5757,23.69
279,A,RA,0.4846,0.688,41.96
280,A,RM,0.4816,0.6094,26.54
280,A,RA,0.4889,0.6595,34.9
281,A,RM,0.4937,0.583,18.08
281,A,RA,0.474,0.651,37.33
282,A,RM,0.4805,0.5991,24.68
282,A,RA,0.4887,0.6753,38.2
283,A,RM,0.4845,0.6286,29.74
283,A,RA,0.4785,0.689,44.01
284,A,RM,0.4753,0.6065,27.61
284,A,RA,0.4809,0.6758,40.53
285,A,RM,0.4719,0.6062,28.47
285,A,RA,0.4833,0.6592,36.4
286,A,RM,0.4809,0.6114,27.12
286,A,RA,0.4731,0.6699,41.6
287,A,RM,0.4862,0.6138,26.23
287,A,RA,0.4734,0.6557,38.51
288,A,RM,0.4847,0.6075,25.35
288,A,RA,0.4872,0.7015,43.99
289,A,RM,0.4776,0.6021,26.07
289,A,RA,0.4788,0.6707,40.08
290,A,RM,0.4964,0.602,21.28
290,A,RA,0.4674,0.6742,44.24
291,A,RM,0.4719,0.5866,24.32
291,A,RA,0.4765,0.6609,38.71
292,A,RM,0.4826,0.5796,20.09
292,A,RA,0.4872,0.6774,39.04
293,A,RM,0.4812,0.5956,23.79
293,A,RA,0.4671,0.6534,39.88
294,A,RM,0.48,0.6019,25.4
294,A,RA,0.4824,0.6619,37.22
295,A,RM,0.476,0.6066,27.45
295,A,RA,0.4697,0.6881,46.48
296,A,RM,0.4811,0.6055,25.86
296,A,RA,0.4868,0.6632,36.23
297,A,RM,0.492,0.6226,26.54
297,A,RA,0.4633,0.6932,49.64
298,A,RM,0.4733,0.5711,20.67
298,A,RA,0.4832,0.688,42.37
299,A,RM,0.4821,0.6188,28.36
299,A,RA,0.4837,0.684,41.41
300,A,RM,0.482,0.5936,23.16
300,A,RA,0.4839,0.6588,36.16
301,A,RM,0.4857,0.5903,21.54
301,A,RA,0.4825,0.6647,37.77
302,A,RM,0.479,0.6026,25.81
302,A,RA,0.4757,0.6871,44.45
303,A,RM,0.4757,0.6077,27.74
303,A,RA,0.4891,0.665,35.97
304,A,RM,0.4893,0.6184,26.39
304,A,RA,0.4866,0.6865,41.09
305,A,RM,0.4764,0.5769,21.1
305,A,RA,0.4765,0.7001,46.93
306,A,RM,0.4851,0.5884,21.3
306,A,RA,0.4675,0.6542,39.94
307,A,RM,0.4792,0.6023,25.69
307,A,RA,0.4803,0.6864,42.89
308,A,RM,0.4877,0.5902,21.01
308,A,RA,0.4794,0.6762,41.07
309,A,RM,0.4888,0.6368,30.28
309,A,RA,0.4779,0.6832,42.96
310,A,RM,0.4702,0.585,24.4
310,A,RA,0.4905,0.7037,43.48
311,A,RM,0.4745,0.6324,33.28
311,A,RA,0.4852,0.7061,45.53
312,A,RM,0.4748,0.6495,36.79
312,A,RA,0.4786,0.6511,36.04
313,A,RM,0.4892,0.631,28.98
313,A,RA,0.4754,0.6471,36.11
314,A,RM,0.4821,0.6125,27.07
314,A,RA,0.4751,0.6928,45.81
315,A,RM,0.4679,0.6028,28.84
315,A,RA,0.4954,0.6715,35.54
316,A,RM,0.4772,0.58,21.53
316,A,RA,0.4774,0.6614,38.54
317,A,RM,0.4905,0.5882,19.92
317,A,RA,0.4652,0.6482,39.33
318,A,RM,0.4721,0.6099,29.17
318,A,RA,0.4758,0.6678,40.37
319,A,RM,0.4856,0.6091,25.42
319,A,RA,0.4726,0.7005,48.21
320,A,RM,0.4713,0.5921,25.63
320,A,RA,0.4851,0.6489,33.77
321,A,RM,0.4707,0.6151,30.69
321,A,RA,0.4731,0.6675,41.09
322,A,RM,0.4762,0.6388,34.16
322,A,RA,0.4802,0.6611,37.67
323,A,RM,0.4898,0.5956,21.62
323,A,RA,0.4744,0.6664,40.47
324,A,RM,0.4616,0.615,33.25
324,A,RA,0.4713,0.6713,42.45
325,A,RM,0.4843,0.5979,23.47
325,A,RA,0.4889,0.6921,41.56
326,A,RM,0.4901,0.6251,27.54
326,A,RA,0.4882,0.6585,34.88
327,A,RM,0.4836,0.6008,24.23
327,A,RA,0.4719,0.6828,44.68
328,A,RM,0.476,0.6269,31.72
328,A,RA,0.4775,0.6852,43.49
329,A,RM,0.4596,0.6157,33.97
329,A,RA,0.4914,0.6696,36.26
330,A,RM,0.4774,0.5714,19.68
330,A,RA,0.481,0.6622,37.67
331,A,RM,0.4771,0.619,29.74
331,A,RA,0.4802,0.6642,38.31
332,A,RM,0.4798,0.608,26.71
332,A,RA,0.4775,0.6824,42.93
333,A,RM,0.4788,0.5839,21.94
333,A,RA,0.4792,0.674,40.67
334,A,RM,0.4908,0.5898,20.16
334,A,RA,0.4899,0.6747,37.72
