Episode,Scenario,Condition,CM_LateralDeviation_m,Observed_LateralDeviation_m,RelativeDegradation_percent
192,A,RM,0.5112,0.7078,38.47
192,A,RA,0.5078,0.7264,43.03
193,A,RM,0.5144,0.666,29.47
193,A,RA,0.5252,0.7433,41.53
194,A,RM,0.5161,0.6836,32.44
194,A,RA,0.5132,0.7173,39.78
195,A,RM,0.5023,0.7038,40.12
195,A,RA,0.4838,0.7165,48.08
196,A,RM,0.5107,0.672,31.57
196,A,RA,0.5125,0.7693,50.12
197,A,RM,0.5139,0.6948,35.21
197,A,RA,0.5019,0.7471,48.83
198,A,RM,0.4933,0.6866,39.19
198,A,RA,0.5106,0.7477,46.43
199,A,RM,0.4952,0.6663,34.53
199,A,RA,0.5088,0.7616,49.69
200,A,RM,0.5156,0.6644,28.84
200,A,RA,0.5068,0.7465,47.3
201,A,RM,0.5114,0.6923,35.37
201,A,RA,0.5016,0.7099,41.54
202,A,RM,0.5159,0.676,31.05
202,A,RA,0.5133,0.7389,43.95
203,A,RM,0.5106,0.6831,33.76
203,A,RA,0.5037,0.7195,42.83
204,A,RM,0.5111,0.6874,34.49
204,A,RA,0.5119,0.7258,41.78
205,A,RM,0.5142,0.7212,40.25
205,A,RA,0.5201,0.7113,36.78
206,A,RM,0.5133,0.6674,30.02
206,A,RA,0.5023,0.7468,48.65
207,A,RM,0.5202,0.691,32.83
207,A,RA,0.5133,0.7273,41.69
208,A,RM,0.5167,0.6587,27.48
208,A,RA,0.51,0.7342,43.97
209,A,RM,0.5175,0.6718,29.81
209,A,RA,0.4988,0.7481,49.96
210,A,RM,0.5205,0.6702,28.76
210,A,RA,0.4945,0.7125,44.08
211,A,RM,0.5058,0.6658,31.65
211,A,RA,0.5074,0.7297,43.81
212,A,RM,0.5089,0.6516,28.05
212,A,RA,0.4988,0.7107,42.49
213,A,RM,0.5069,0.6792,33.99
213,A,RA,0.5138,0.7345,42.95
214,A,RM,0.499,0.7078,41.86
214,A,RA,0.5018,0.6971,38.92
215,A,RM,0.5143,0.6863,33.46
215,A,RA,0.5287,0.7367,39.34
216,A,RM,0.5058,0.6577,30.03
216,A,RA,0.4934,0.7668,55.42
217,A,RM,0.5004,0.6674,33.37
217,A,RA,0.5204,0.7325,40.77
218,A,RM,0.5076,0.6639,30.78
218,A,RA,0.5091,0.7002,37.55
219,A,RM,0.5073,0.6664,31.36
219,A,RA,0.503,0.7188,42.9
220,A,RM,0.5046,0.6763,34.04
220,A,RA,0.5112,0.7089,38.66
221,A,RM,0.506,0.6555,29.55
221,A,RA,0.5133,0.718,39.87
222,A,RM,0.509,0.6652,30.68
222,A,RA,0.5032,0.7287,44.82
223,A,RM,0.5,0.6813,36.27
223,A,RA,0.5095,0.7481,46.82
224,A,RM,0.5129,0.6628,29.22
224,A,RA,0.5082,0.7483,47.24
225,A,RM,0.5068,0.6996,38.05
225,A,RA,0.5142,0.7353,42.99
226,A,RM,0.5139,0.6363,23.83
226,A,RA,0.5164,0.714,38.27
227,A,RM,0.5183,0.64,23.49
227,A,RA,0.5059,0.7308,44.45
228,A,RM,0.5105,0.6809,33.37
228,A,RA,0.523,0.7467,42.77
229,A,RM,0.5181,0.6311,21.81
229,A,RA,0.5228,0.7351,40.61
230,A,RM,0.5075,0.6817,34.33
230,A,RA,0.5022,0.7357,46.51
231,A,RM,0.5102,0.6587,29.11
231,A,RA,0.5062,0.7536,48.89
232,A,RM,0.503,0.645,28.23
232,A,RA,0.5131,0.7447,45.16
233,A,RM,0.5132,0.6984,36.08
233,A,RA,0.5094,0.7416,45.6
234,A,RM,0.5112,0.6609,29.27
234,A,RA,0.4943,0.7153,44.72
235,A,RM,0.5056,0.679,34.3
235,A,RA,0.5166,0.7024,35.97
236,A,RM,0.5059,0.6785,34.12
236,A,RA,0.5108,0.7234,41.63
237,A,RM,0.4983,0.6746,35.37
237,A,RA,0.5093,0.7354,44.4
238,A,RM,0.5189,0.6558,26.39
238,A,RA,0.511,0.6921,35.43
239,A,RM,0.5181,0.676,30.46
239,A,RA,0.4908,0.7385,50.47
240,A,RM,0.5049,0.6904,36.73
240,A,RA,0.5044,0.7312,44.98
241,A,RM,0.5086,0.6222,22.33
241,A,RA,0.4984,0.7165,43.74
242,A,RM,0.5094,0.6777,33.06
242,A,RA,0.5165,0.7218,39.75
243,A,RM,0.5069,0.6766,33.47
243,A,RA,0.5181,0.7373,42.31
244,A,RM,0.5135,0.6799,32.41
244,A,RA,0.5097,0.7237,42.0
245,A,RM,0.5155,0.6729,30.54
245,A,RA,0.5067,0.7047,39.08
246,A,RM,0.4969,0.6839,37.65
246,A,RA,0.5115,0.7186,40.49
247,A,RM,0.5037,0.6678,32.59
247,A,RA,0.5105,0.7173,40.51
248,A,RM,0.5138,0.7017,36.56
248,A,RA,0.5202,0.7033,35.18
249,A,RM,0.513,0.6878,34.08
249,A,RA,0.5108,0.7246,41.86
250,A,RM,0.4928,0.6976,41.55
250,A,RA,0.5179,0.7258,40.13
251,A,RM,0.4987,0.6534,31.02
251,A,RA,0.505,0.7436,47.26
252,A,RM,0.5103,0.6671,30.74
252,A,RA,0.5207,0.7562,45.21
253,A,RM,0.5003,0.6691,33.73
253,A,RA,0.4897,0.75,53.16
254,A,RM,0.4956,0.6748,36.15
254,A,RA,0.5101,0.72,41.17
255,A,RM,0.514,0.6857,33.4
255,A,RA,0.5012,0.7151,42.7
256,A,RM,0.5052,0.7168,41.89
256,A,RA,0.5208,0.7279,39.77
257,A,RM,0.5055,0.6965,37.78
257,A,RA,0.5147,0.7222,40.32
258,A,RM,0.509,0.6508,27.85
258,A,RA,0.5146,0.7344,42.72
259,A,RM,0.5122,0.7149,39.59
259,A,RA,0.5009,0.721,43.92
260,A,RM,0.5082,0.6596,29.77
260,A,RA,0.5116,0.7231,41.34
261,A,RM,0.5041,0.6481,28.55
261,A,RA,0.5121,0.6884,34.45
262,A,RM,0.5037,0.7126,41.48
262,A,RA,0.5237,0.7203,37.54
263,A,RM,0.505,0.664,31.48
263,A,RA,0.5018,0.725,44.48
264,A,RM,0.513,0.6937,35.2
264,A,RA,0.5063,0.7115,40.53
265,A,RM,0.5014,0.7168,42.96
265,A,RA,0.508,0.7453,46.71
266,A,RM,0.5086,0.6773,33.15
266,A,RA,0.5066,0.717,41.53
267,A,RM,0.5103,0.7062,38.37
267,A,RA,0.4952,0.7081,43.0
268,A,RM,0.5062,0.6638,31.13
268,A,RA,0.5119,0.7233,41.29
269,A,RM,0.5295,0.6692,26.39
269,A,RA,0.5066,0.7276,43.63
270,A,RM,0.5084,0.6705,31.88
270,A,RA,0.5153,0.709,37.58
271,A,RM,0.509,0.6805,33.7
271,A,RA,0.5089,0.7013,37.82
272,A,RM,0.5082,0.6774,33.3
272,A,RA,0.5098,0.7517,47.46
273,A,RM,0.5068,0.6602,30.28
273,A,RA,0.5126,0.7075,38.02
274,A,RM,0.5049,0.6919,37.05
274,A,RA,0.5096,0.707,38.75
275,A,RM,0.507,0.6739,32.92
275,A,RA,0.5091,0.7139,40.22
276,A,RM,0.5107,0.6705,31.3
276,A,RA,0.511,0.7228,41.44
277,A,RM,0.4977,0.6699,34.6
277,A,RA,0.5137,0.7122,38.63
278,A,RM,0.4969,0.6495,30.72
278,A,RA,0.5102,0.7309,43.25
279,A,RM,0.5178,0.6751,30.38
279,A,RA,0.4888,0.7104,45.34
280,A,RM,0.496,0.6505,31.14
280,A,RA,0.5079,0.7229,42.34
281,A,RM,0.5055,0.6889,36.28
281,A,RA,0.5059,0.7261,43.51
282,A,RM,0.5007,0.6984,39.48
282,A,RA,0.4911,0.7242,47.49
283,A,RM,0.5106,0.647,26.71
283,A,RA,0.5135,0.7318,42.51
284,A,RM,0.4986,0.6338,27.1
284,A,RA,0.4983,0.7333,47.17
285,A,RM,0.5122,0.6729,31.37
285,A,RA,0.5143,0.7567,47.15
286,A,RM,0.515,0.661,28.36
286,A,RA,0.4917,0.7045,43.26
287,A,RM,0.5139,0.6646,29.33
287,A,RA,0.5208,0.724,39.02
288,A,RM,0.5026,0.6883,36.95
288,A,RA,0.5182,0.704,35.87
289,A,RM,0.5157,0.6683,29.59
289,A,RA,0.5063,0.7126,40.77
290,A,RM,0.5042,0.6773,34.33
290,A,RA,0.5104,0.7238,41.82
291,A,RM,0.5055,0.7104,40.53
291,A,RA,0.514,0.7423,44.43
292,A,RM,0.5067,0.6907,36.31
292,A,RA,0.5146,0.7348,42.78
293,A,RM,0.4955,0.675,36.24
293,A,RA,0.5031,0.7224,43.61
294,A,RM,0.5157,0.647,25.46
294,A,RA,0.4983,0.7563,51.78
295,A,RM,0.4968,0.6721,35.28
295,A,RA,0.501,0.7098,41.67
296,A,RM,0.516,0.6471,25.4
296,A,RA,0.5012,0.7168,43.02
297,A,RM,0.5035,0.6733,33.74
297,A,RA,0.5046,0.7033,39.38
298,A,RM,0.5115,0.657,28.45
298,A,RA,0.511,0.7383,44.48
299,A,RM,0.5145,0.6982,35.7
299,A,RA,0.5104,0.738,44.59
300,A,RM,0.5146,0.6649,29.2
300,A,RA,0.5057,0.7304,44.44
301,A,RM,0.5064,0.6911,36.48
301,A,RA,0.5095,0.7293,43.13
302,A,RM,0.5092,0.6654,30.68
302,A,RA,0.5009,0.744,48.51
303,A,RM,0.5018,0.6731,34.14
303,A,RA,0.5059,0.7287,44.03
304,A,RM,0.4995,0.6666,33.45
304,A,RA,0.5201,0.7136,37.19
305,A,RM,0.5009,0.711,41.94
305,A,RA,0.4947,0.7593,53.47
306,A,RM,0.5081,0.6785,33.55
306,A,RA,0.4907,0.7128,45.25
307,A,RM,0.4979,0.6703,34.62
307,A,RA,0.5198,0.7214,38.79
308,A,RM,0.516,0.6727,30.37
308,A,RA,0.517,0.7255,40.35
309,A,RM,0.5027,0.679,35.06
309,A,RA,0.5168,0.7597,46.99
310,A,RM,0.5082,0.6852,34.83
310,A,RA,0.5034,0.743,47.58
311,A,RM,0.4976,0.6683,34.31
311,A,RA,0.5084,0.7196,41.55
312,A,RM,0.5026,0.6619,31.69
312,A,RA,0.4969,0.7754,56.05
313,A,RM,0.5112,0.6894,34.84
313,A,RA,0.5092,0.7305,43.47
314,A,RM,0.5173,0.6493,25.52
314,A,RA,0.5231,0.7041,34.6
315,A,RM,0.5145,0.6475,25.86
315,A,RA,0.5166,0.7424,43.69
316,A,RM,0.5107,0.6633,29.88
316,A,RA,0.5111,0.7253,41.9
317,A,RM,0.5029,0.711,41.37
317,A,RA,0.5113,0.7278,42.35
318,A,RM,0.5224,0.6814,30.43
318,A,RA,0.515,0.7403,43.75
319,A,RM,0.5178,0.6836,32.04
319,A,RA,0.5054,0.7333,45.1
320,A,RM,0.5135,0.6794,32.3
320,A,RA,0.5165,0.7254,40.44
321,A,RM,0.5135,0.688,33.97
321,A,RA,0.509,0.7438,46.13
322,A,RM,0.5203,0.6976,34.06
322,A,RA,0.5153,0.7314,41.94
323,A,RM,0.5168,0.6779,31.16
323,A,RA,0.5253,0.7252,38.05
324,A,RM,0.501,0.6774,35.21
324,A,RA,0.4996,0.7383,47.79
325,A,RM,0.5102,0.6677,30.88
325,A,RA,0.5017,0.7376,47.0
326,A,RM,0.5035,0.688,36.66
326,A,RA,0.5249,0.7304,39.16
327,A,RM,0.5068,0.6733,32.85
327,A,RA,0.5152,0.7121,38.22
328,A,RM,0.5136,0.6898,34.3
328,A,RA,0.506,0.7332,44.9
329,A,RM,0.5013,0.6697,33.59
329,A,RA,0.516,0.7207,39.68
330,A,RM,0.5067,0.6917,36.5
330,A,RA,0.4971,0.7471,50.31
331,A,RM,0.5129,0.6619,29.05
331,A,RA,0.521,0.7202,38.24
332,A,RM,0.4951,0.6843,38.21
332,A,RA,0.505,0.7311,44.79
333,A,RM,0.5151,0.6798,31.98
333,A,RA,0.5164,0.7389,43.08
334,A,RM,0.5076,0.6835,34.66
334,A,RA,0.521,0.722,38.58
