Episode,mIoU,Geo_MAE,Success_Rate
105,45.099,0.8117,24.774
106,45.724,0.815,23.08
107,46.495,0.8026,22.723
108,45.734,0.8129,23.487
109,46.291,0.8209,22.187
110,44.989,0.8219,21.826
111,44.466,0.8116,23.277
112,42.936,0.7811,23.682
113,44.199,0.7906,23.111
114,44.437,0.7724,22.728
115,44.886,0.79,24.705
116,46.855,0.8021,24.673
117,45.516,0.7987,25.216
118,44.63,0.793,25.79
119,44.394,0.7787,24.488
120,45.217,0.7868,22.502
121,44.903,0.8112,22.11
122,44.361,0.8217,23.37
123,44.117,0.814,22.7
124,45.329,0.8236,23.089
125,44.77,0.809,23.666
126,45.176,0.8075,25.614
127,45.0,0.8198,25.947
128,45.409,0.8133,26.262
129,44.736,0.8071,24.22
130,45.065,0.8053,22.669
131,46.428,0.8212,23.946
132,46.726,0.799,22.953
133,46.216,0.7904,22.637
134,46.041,0.7841,22.31
135,46.708,0.7936,23.157
136,47.15,0.803,24.376
137,45.599,0.8202,25.953
138,44.95,0.8312,27.387
139,44.493,0.8437,29.023
140,45.884,0.8376,27.248
141,46.046,0.8331,26.479
142,46.121,0.7979,27.5
143,46.754,0.7875,26.31
144,46.155,0.7922,25.118
145,47.761,0.7879,23.973
146,47.837,0.79,22.766
147,47.73,0.7875,25.111
148,47.038,0.7988,24.047
149,47.27,0.7899,23.983
150,45.895,0.7941,23.917
151,46.233,0.7912,23.771
152,45.125,0.8015,24.667
153,46.496,0.8071,24.731
154,46.74,0.7793,26.35
155,46.949,0.7859,27.281
156,48.093,0.7855,27.066
157,48.078,0.7851,26.793
158,46.762,0.8202,24.981
159,46.836,0.7975,25.638
160,46.627,0.7873,25.787
161,45.603,0.7962,29.127
162,46.797,0.7905,29.955
163,47.995,0.807,28.667
164,49.42,0.8155,27.275
165,49.593,0.8012,26.885
166,49.796,0.7925,28.524
167,49.55,0.8082,31.161
168,48.745,0.7822,30.491
169,48.64,0.7775,30.774
170,47.161,0.7746,31.378
171,46.156,0.7712,30.242
172,47.09,0.7926,28.675
173,46.507,0.7838,27.239
174,45.897,0.7868,25.71
175,46.875,0.7847,29.184
176,47.565,0.7797,30.152
177,48.847,0.7671,28.714
178,49.002,0.7579,27.758
179,49.024,0.7652,27.285
180,49.045,0.7515,27.343
181,48.622,0.7469,28.152
182,48.045,0.7474,27.396
183,48.153,0.7603,28.748
184,47.819,0.7589,28.833
185,47.881,0.7631,28.002
186,47.842,0.7613,28.933
187,47.412,0.7706,28.181
188,46.908,0.7782,28.905
189,47.261,0.763,29.993
190,46.914,0.7591,31.398
191,46.319,0.77,31.972
192,46.147,0.7776,29.26
193,44.831,0.7781,29.934
194,46.047,0.7601,30.358
195,47.009,0.7619,29.871
196,47.703,0.7582,32.809
197,48.1,0.7656,31.8
198,48.525,0.7658,30.717
199,48.363,0.7693,31.891
200,48.07,0.7665,31.025
201,48.493,0.7611,28.462
202,48.837,0.7532,28.567
203,49.073,0.7302,28.377
204,48.935,0.712,29.806
205,48.542,0.7254,30.743
206,49.399,0.7265,30.973
207,48.648,0.7441,29.351
208,48.591,0.7336,29.402
209,47.907,0.7388,28.821
210,49.482,0.7499,27.193
211,47.838,0.7631,28.952
212,49.507,0.7449,28.048
213,49.489,0.7288,29.21
214,48.694,0.7425,29.305
215,48.543,0.7336,29.826
216,49.469,0.7259,30.422
217,48.559,0.7369,31.561
218,48.769,0.7266,31.871
219,48.486,0.7319,29.746
220,48.084,0.7319,29.019
221,48.698,0.7216,30.41
222,49.265,0.7115,29.125
223,49.869,0.7141,29.208
224,50.55,0.7331,30.348
225,49.923,0.7466,30.873
226,50.399,0.7618,31.763
227,51.416,0.7528,31.755
228,50.471,0.7522,32.138
229,52.098,0.7378,32.034
230,51.772,0.7317,32.091
231,51.837,0.7374,33.05
232,51.785,0.7485,34.613
233,51.656,0.75,33.793
234,51.351,0.744,34.957
235,49.892,0.7415,33.625
236,50.501,0.7455,33.896
237,51.004,0.7306,35.37
238,50.573,0.7194,33.192
239,51.114,0.7144,33.515
240,50.133,0.7219,32.688
241,50.837,0.7185,33.504
242,52.403,0.7339,34.64
243,52.123,0.7476,34.705
244,50.557,0.7375,33.044
245,50.575,0.7297,32.353
246,51.091,0.7222,31.981
247,51.228,0.7061,31.572
248,49.696,0.7238,33.261
249,49.972,0.724,32.245
250,49.111,0.7269,32.988
251,49.438,0.7132,32.261
252,48.942,0.7038,33.886
253,48.375,0.7175,33.122
254,47.955,0.6984,34.716
255,48.909,0.7103,33.025
256,48.756,0.6938,34.484
257,49.031,0.7018,35.801
258,49.825,0.7149,36.39
259,50.017,0.7272,35.781
260,50.012,0.7364,34.849
261,49.462,0.7376,35.221
262,49.78,0.7415,36.162
263,50.879,0.7361,37.382
264,51.865,0.7318,36.535
265,50.55,0.7291,37.256
266,50.743,0.7414,35.854
267,51.2,0.7373,37.189
268,50.087,0.7145,36.912
269,49.597,0.7209,37.002
270,51.27,0.7272,36.673
271,51.566,0.7184,37.856
272,51.894,0.7087,36.607
273,52.415,0.7129,36.355
274,52.158,0.7119,37.955
275,52.934,0.7069,35.819
276,52.2,0.7007,35.067
277,52.254,0.6869,34.451
278,50.952,0.6757,33.109
279,50.906,0.6673,32.854
280,51.053,0.6821,34.245
281,50.887,0.6732,35.053
282,51.011,0.6938,35.123
283,50.34,0.6942,35.388
284,49.65,0.7024,34.972
285,49.959,0.7174,35.478
286,50.699,0.7312,35.288
287,49.62,0.7026,35.378
288,49.708,0.7096,36.172
289,47.821,0.7339,35.956
290,47.535,0.7214,34.894
291,46.293,0.7153,35.144
292,47.503,0.7151,35.149
293,48.32,0.7097,34.8
294,47.83,0.7157,33.764
295,49.668,0.7011,34.21
296,51.042,0.6931,32.997
297,50.286,0.6926,34.223
298,52.8,0.7029,33.839
299,52.124,0.6839,32.848
300,52.487,0.665,33.388
301,52.655,0.6558,33.559
302,53.227,0.6575,33.526
303,52.049,0.6575,31.813
304,50.024,0.6642,32.554
305,50.128,0.6828,33.223
306,48.795,0.665,33.607
307,50.997,0.6735,34.148
308,51.846,0.6731,35.967
309,52.465,0.6843,37.382
310,51.47,0.6923,38.432
311,51.836,0.701,42.536
312,52.211,0.7012,41.835
313,53.057,0.6869,41.056
314,53.803,0.6863,41.17
315,53.835,0.6701,40.055
316,53.675,0.6568,40.581
317,53.446,0.6666,38.336
318,53.73,0.6716,36.181
319,54.775,0.6622,38.462
320,55.804,0.6724,37.831
321,55.248,0.6626,39.176
322,53.539,0.6658,40.418
323,53.271,0.6666,40.289
324,52.844,0.6801,38.369
325,51.949,0.6655,38.905
326,52.903,0.6764,37.404
327,52.969,0.6709,36.588
328,53.309,0.6715,37.785
329,54.67,0.6682,37.085
330,53.411,0.6659,37.02
331,53.812,0.6496,36.086
332,52.524,0.6805,36.262
333,51.845,0.6997,37.712
334,51.173,0.6883,36.748
335,51.617,0.6733,37.968
336,50.929,0.6982,37.643
337,53.347,0.6966,36.94
338,52.899,0.6902,38.376
339,53.65,0.6726,38.707
340,53.84,0.6733,38.597
341,52.871,0.6725,40.592
342,53.279,0.674,42.005
343,53.253,0.6982,39.982
344,52.746,0.6979,37.678
345,53.937,0.7057,38.446
346,52.852,0.7097,38.042
347,53.638,0.7127,38.347
348,53.522,0.7068,38.02
349,54.173,0.7022,38.985
350,54.835,0.7149,39.767
351,56.012,0.7027,41.814
352,54.926,0.7,40.06
353,54.206,0.7111,41.215
354,54.125,0.7034,40.932
355,55.008,0.6781,42.667
356,54.505,0.687,43.708
357,53.888,0.6824,43.69
358,54.129,0.6742,43.7
359,53.901,0.6544,43.988
360,53.029,0.6533,43.249
361,52.816,0.6506,40.827
362,54.047,0.6361,40.649
363,53.827,0.6452,41.002
364,54.083,0.6615,42.761
365,54.332,0.6725,42.321
366,54.59,0.6548,43.866
367,54.986,0.6513,43.341
368,54.496,0.658,42.068
369,53.571,0.6349,42.514
370,53.322,0.6319,42.693
371,52.593,0.6482,41.771
372,53.892,0.6557,42.885
373,54.427,0.6448,42.704
374,54.293,0.638,42.1
375,54.375,0.6218,42.389
376,54.386,0.6326,41.33
377,54.879,0.6522,39.604
378,54.993,0.6581,39.76
379,54.378,0.6649,41.636
380,55.73,0.6644,41.573
381,54.564,0.6657,42.546
382,55.11,0.6439,41.309
383,55.172,0.6701,42.414
384,54.554,0.6373,42.089
385,53.613,0.6513,40.491
386,53.835,0.6573,40.966
387,54.145,0.6496,39.815
388,54.672,0.6342,40.256
389,55.339,0.6108,39.168
390,54.154,0.6352,39.118
391,54.083,0.6412,38.97
392,54.325,0.6281,40.683
393,54.145,0.6204,42.067
394,54.249,0.6357,42.083
395,55.072,0.6313,41.411
396,53.675,0.6407,41.348
397,53.879,0.6311,40.282
398,52.569,0.6354,40.494
399,52.606,0.6382,41.95
400,54.671,0.6304,42.837
401,53.842,0.6553,43.196
402,54.389,0.6696,42.261
403,55.827,0.6582,44.206
404,56.527,0.6734,43.377
405,56.589,0.6671,44.024
406,56.649,0.6415,41.72
407,55.813,0.6484,42.652
408,55.861,0.6258,42.989
409,56.643,0.633,43.265
410,56.07,0.6145,40.806
411,55.09,0.6086,41.898
412,54.485,0.6072,43.21
413,53.017,0.5969,44.275
414,53.773,0.5827,43.861
415,53.187,0.5903,45.526
416,54.415,0.5978,43.422
417,54.459,0.5868,44.087
418,56.229,0.575,43.206
419,56.945,0.5859,44.907
420,56.899,0.5946,44.968
421,57.235,0.5894,43.284
422,56.761,0.5835,42.983
423,59.551,0.5775,40.974
424,59.449,0.5783,42.352
425,59.715,0.5821,44.551
426,60.027,0.5833,43.643
427,59.547,0.6004,44.48
428,58.988,0.5774,44.425
429,59.99,0.5982,44.365
430,60.532,0.6154,43.58
431,62.217,0.6549,44.234
432,62.464,0.6457,41.945
433,62.688,0.63,43.062
434,62.076,0.6222,43.305
435,60.413,0.6382,43.724
436,59.754,0.6497,42.696
437,58.679,0.6337,41.472
438,57.907,0.6453,41.255
439,57.771,0.6125,41.48
440,58.786,0.6176,41.258
441,58.625,0.6115,43.428
442,58.79,0.6165,41.668
443,58.279,0.6176,41.362
444,59.183,0.6264,43.148
445,57.956,0.6069,42.113
446,57.777,0.6122,44.337
447,57.706,0.608,46.535
448,57.836,0.5852,45.483
449,56.854,0.5898,46.729
450,56.109,0.5981,46.435
451,54.817,0.6012,46.182
452,55.63,0.5929,46.227
453,55.061,0.6071,47.955
454,57.273,0.6014,45.364
455,56.281,0.6129,44.888
456,55.896,0.6103,43.586
457,57.389,0.5855,42.462
458,57.938,0.5885,42.209
459,58.057,0.5755,41.439
460,56.754,0.5645,43.648
461,58.057,0.5549,42.977
462,57.692,0.5582,43.44
463,57.463,0.5516,43.486
464,57.86,0.5587,43.906
465,59.63,0.5664,42.946
466,59.676,0.5628,42.595
467,59.996,0.567,42.969
468,59.758,0.5686,44.91
469,60.223,0.5457,44.642
470,60.351,0.5541,44.696
471,59.157,0.5622,46.52
472,58.067,0.5641,46.78
473,57.439,0.5477,49.068
474,58.997,0.5771,49.47
475,57.38,0.569,49.986
476,56.483,0.568,50.344
477,57.47,0.5867,50.875
478,58.238,0.5778,49.597
479,58.237,0.5728,48.277
480,58.609,0.5861,48.616
481,58.724,0.5918,49.717
482,58.801,0.5636,48.595
483,57.196,0.5658,48.443
484,56.807,0.5725,48.814
485,56.191,0.5724,49.063
486,55.649,0.5756,46.541
487,55.15,0.5742,46.466
488,56.187,0.5671,45.451
489,56.515,0.5552,47.176
490,56.146,0.5561,47.409
491,56.414,0.5496,46.53
492,57.136,0.5568,47.108
493,57.578,0.572,46.205
494,58.287,0.5853,46.013
495,57.322,0.6037,47.614
496,58.342,0.6029,46.93
497,59.258,0.6143,47.593
498,57.02,0.5937,48.981
499,58.45,0.5884,49.099
500,59.036,0.5781,48.137
501,58.631,0.5811,47.234
502,58.39,0.5826,47.354
503,58.698,0.5766,46.806
504,59.879,0.5802,47.632
505,58.007,0.5765,48.013
506,57.072,0.5717,51.131
507,56.202,0.5509,50.42
508,55.569,0.5634,48.993
509,56.339,0.5756,48.34
510,56.184,0.5555,48.671
511,56.404,0.554,48.009
512,57.56,0.5758,50.142
513,56.244,0.6044,50.106
514,56.501,0.6084,52.265
515,56.02,0.587,51.706
516,55.357,0.5744,49.569
517,56.054,0.5815,48.611
518,58.165,0.5643,48.83
519,59.078,0.5582,49.287
520,59.276,0.5702,47.1
521,59.293,0.5841,46.474
522,60.006,0.5752,46.447
523,59.087,0.5776,49.711
524,59.82,0.5656,48.999
525,61.137,0.5805,48.144
526,61.021,0.5725,51.237
527,60.809,0.5814,48.548
528,60.395,0.5864,49.695
529,61.054,0.5454,50.687
530,60.506,0.5551,49.841
531,59.733,0.5506,49.433
532,59.728,0.5483,48.07
533,61.137,0.5606,47.431
534,60.105,0.5617,43.914
535,60.087,0.5707,44.84
536,61.598,0.5608,44.922
537,61.276,0.5592,46.677
538,62.1,0.5539,46.694
539,61.689,0.5463,46.165
540,62.707,0.5598,47.58
541,62.49,0.5536,47.153
542,61.882,0.5501,47.51
543,61.725,0.55,46.411
544,61.65,0.5427,46.782
545,61.228,0.5658,48.637
546,62.231,0.5573,50.275
547,62.888,0.5523,49.021
548,63.56,0.5561,47.67
549,62.88,0.5411,48.601
550,61.351,0.5351,47.954
551,62.822,0.5447,47.998
552,61.928,0.5637,49.236
553,61.184,0.5591,47.251
554,61.806,0.5541,47.487
555,62.421,0.5275,46.854
556,60.864,0.537,48.444
557,61.397,0.5225,47.934
558,61.236,0.5152,46.879
559,61.609,0.5172,46.155
560,60.835,0.5221,47.534
561,61.929,0.5313,48.32
562,62.476,0.5307,46.609
563,62.176,0.5456,45.353
564,61.78,0.5601,45.398
565,61.509,0.5486,45.411
566,59.724,0.5656,47.433
567,59.736,0.5681,47.289
568,59.186,0.5362,48.502
569,59.439,0.5341,48.13
570,60.416,0.5534,49.274
571,61.369,0.5404,50.845
572,61.471,0.5478,49.515
573,62.953,0.554,50.902
574,63.086,0.5348,52.257
575,61.079,0.5285,51.884
576,61.7,0.5152,52.901
577,61.815,0.5046,51.615
578,61.554,0.4854,51.409
579,61.258,0.4923,51.829
580,60.988,0.5035,52.565
581,59.838,0.5092,53.877
582,59.232,0.5279,52.629
583,59.943,0.5502,53.842
584,59.968,0.5605,52.072
585,60.906,0.5488,51.067
586,60.076,0.5295,48.642
587,59.008,0.5268,47.218
588,61.136,0.5365,49.948
589,62.742,0.5634,50.47
590,62.32,0.563,50.542
591,62.103,0.5564,49.235
592,61.41,0.538,50.779
593,60.355,0.5575,50.194
594,60.467,0.5505,49.376
595,59.918,0.5584,48.28
596,57.822,0.558,48.332
597,58.282,0.5586,48.971
598,58.256,0.548,48.34
599,58.758,0.5383,47.82
600,57.913,0.5381,48.342
601,58.085,0.5336,47.674
602,57.469,0.5188,47.952
603,59.058,0.5197,50.897
604,59.133,0.5008,50.97
605,60.6,0.5018,51.162
606,62.573,0.5094,51.208
607,62.582,0.5062,52.295
608,62.572,0.5059,52.771
609,61.801,0.5015,52.665
610,60.926,0.5025,51.671
611,61.989,0.5056,51.016
612,61.491,0.5061,49.541
613,60.962,0.5026,47.095
614,61.511,0.5102,48.072
615,61.331,0.5044,47.579
616,61.229,0.5118,49.392
617,61.725,0.5237,49.279
618,60.801,0.5072,49.329
619,61.612,0.5037,49.087
620,63.293,0.5204,49.931
621,64.342,0.5168,51.208
622,64.633,0.5226,50.697
623,62.972,0.5309,50.696
624,63.473,0.541,50.863
625,63.015,0.5284,50.59
626,63.048,0.54,50.434
627,62.008,0.5329,52.092
628,62.453,0.5339,50.515
629,64.469,0.5363,50.822
630,64.527,0.5289,48.61
631,64.598,0.5516,49.47
632,62.985,0.5345,51.074
633,62.785,0.5227,50.486
634,61.459,0.5381,50.641
635,62.462,0.5227,50.02
636,62.44,0.5238,50.289
637,61.459,0.5408,50.897
638,62.226,0.5431,51.472
639,61.899,0.5226,52.109
640,60.871,0.5193,51.951
641,61.276,0.522,53.851
642,61.852,0.5076,52.48
643,62.068,0.4973,51.776
644,62.669,0.5224,53.514
645,64.56,0.5268,53.447
646,62.718,0.5232,53.856
647,64.202,0.5215,53.222
648,63.571,0.5175,52.002
649,63.395,0.5169,52.347
650,62.227,0.5095,53.065
651,62.621,0.5282,54.183
652,63.442,0.5068,54.633
653,62.534,0.4939,53.735
654,63.357,0.4914,51.957
655,63.821,0.484,52.622
656,63.994,0.4942,52.17
657,64.525,0.4727,54.073
658,64.198,0.4824,53.791
659,64.355,0.4914,53.805
660,64.509,0.4849,54.5
661,63.998,0.4977,53.773
662,62.787,0.4727,53.062
663,61.556,0.4863,51.982
664,61.966,0.4847,50.791
665,62.854,0.5062,50.06
666,63.767,0.4888,49.217
667,63.147,0.4903,49.267
668,62.806,0.4745,48.039
669,64.045,0.4642,49.652
670,63.242,0.4567,48.995
671,63.518,0.4624,49.765
672,62.003,0.467,50.861
673,62.558,0.507,50.732
674,61.564,0.4964,49.47
675,62.134,0.5103,49.135
676,61.652,0.5324,48.825
677,62.976,0.5146,50.712
678,62.473,0.5036,51.708
679,63.003,0.4969,53.278
680,62.229,0.4944,53.206
681,62.019,0.4988,51.898
682,62.506,0.4868,53.911
683,60.972,0.4817,53.924
684,60.264,0.4781,54.898
685,60.599,0.4622,54.944
686,60.412,0.469,54.876
687,61.374,0.4616,56.604
688,62.811,0.4591,56.085
689,63.066,0.4889,55.47
690,62.744,0.4823,56.196
691,63.553,0.4989,55.58
692,62.932,0.4989,54.078
693,62.259,0.4856,53.605
694,61.987,0.4896,55.529
695,62.047,0.5054,54.567
696,61.785,0.4957,57.322
697,63.346,0.5064,57.729
698,64.018,0.4953,57.218
699,65.739,0.5145,55.284
700,64.702,0.4942,56.392
701,63.028,0.5094,57.852
702,63.972,0.4982,58.065
703,64.088,0.4986,58.535
704,64.758,0.5121,56.482
705,64.756,0.5236,56.685
706,65.809,0.5146,56.387
707,64.495,0.4938,58.157
708,65.039,0.4856,56.701
709,64.302,0.4944,55.837
710,65.8,0.4905,56.978
711,64.758,0.4934,57.775
712,63.814,0.5,55.729
713,63.108,0.5067,55.306
714,63.713,0.4881,54.606
715,63.704,0.4831,53.646
716,64.196,0.479,53.812
717,65.393,0.4798,52.898
718,64.559,0.4851,52.738
719,64.359,0.4848,53.523
720,64.461,0.4814,56.496
721,64.33,0.4889,56.172
722,65.438,0.4625,55.842
723,65.342,0.4768,57.517
724,66.312,0.4761,57.714
725,65.985,0.4815,56.609
726,66.518,0.477,56.148
727,66.935,0.4707,57.08
728,65.502,0.4624,56.13
729,65.843,0.4766,58.567
730,66.743,0.4699,58.457
731,65.86,0.4786,59.15
732,65.431,0.4899,61.195
733,66.742,0.5088,60.379
734,66.353,0.481,58.815
735,66.472,0.5137,57.097
736,65.44,0.5289,58.292
737,65.81,0.5121,58.051
738,66.483,0.5048,59.791
739,67.116,0.5243,58.886
740,67.009,0.5229,57.794
741,66.992,0.5,56.542
742,66.828,0.4917,56.73
743,67.599,0.4839,56.32
744,67.165,0.4889,55.551
745,67.074,0.4734,55.739
746,67.997,0.4687,55.401
747,68.252,0.4668,55.917
748,67.297,0.4685,56.054
749,65.705,0.4638,56.826
750,65.505,0.4755,57.124
751,66.714,0.4571,56.277
752,67.864,0.4838,54.831
753,67.852,0.4736,56.248
754,67.045,0.462,55.593
755,66.186,0.4441,56.713
756,66.647,0.451,57.359
757,67.008,0.4566,58.3
758,66.534,0.4493,59.507
759,65.146,0.4295,59.174
760,65.948,0.448,58.591
761,65.121,0.4454,58.016
762,66.61,0.4544,58.097
763,65.829,0.462,58.622
764,67.307,0.4571,57.595
765,65.314,0.4635,57.852
766,66.499,0.4553,56.68
767,65.453,0.4649,56.649
768,66.309,0.4556,59.815
769,64.589,0.465,58.81
770,65.006,0.4706,57.065
771,64.543,0.4551,56.831
772,64.405,0.4457,55.811
773,65.283,0.4398,56.719
774,64.427,0.4433,59.323
775,64.55,0.4383,58.407
776,65.802,0.4499,57.485
777,64.818,0.4576,56.473
778,65.235,0.4582,55.312
779,64.835,0.4797,55.607
780,65.666,0.4728,55.412
781,66.649,0.4641,52.517
782,65.432,0.4503,52.978
783,66.289,0.4403,51.11
784,65.5,0.449,54.546
785,65.928,0.4582,55.067
786,66.578,0.4401,54.415
787,65.261,0.4464,57.463
788,66.226,0.4275,56.39
789,67.531,0.4057,58.332
790,67.441,0.4203,57.362
791,67.446,0.4077,57.919
792,68.797,0.3913,58.73
793,67.6,0.4049,60.77
794,68.942,0.4107,59.878
795,68.332,0.4313,58.698
796,68.447,0.4253,59.681
797,68.458,0.408,58.431
798,68.272,0.4287,56.588
799,69.216,0.4075,56.088
800,68.802,0.4092,56.161
801,68.821,0.41,56.348
802,69.251,0.4257,56.689
803,71.041,0.4188,55.161
804,71.635,0.412,55.502
805,69.976,0.4095,56.46
806,69.462,0.4198,57.847
807,70.696,0.4314,56.859
808,68.93,0.4384,57.659
809,69.622,0.4382,57.548
810,70.176,0.4597,57.665
811,67.763,0.4626,57.992
812,67.331,0.4656,59.617
813,67.494,0.4731,60.07
814,68.904,0.4631,58.061
815,68.21,0.4449,57.687
816,70.152,0.4592,58.003
817,69.128,0.479,57.614
818,67.845,0.4649,58.02
819,66.681,0.4647,58.19
820,65.975,0.4742,56.985
821,65.826,0.4753,57.993
822,64.522,0.49,58.746
823,65.368,0.4881,56.101
824,65.597,0.4603,56.663
825,64.63,0.464,57.28
826,65.231,0.4692,57.734
827,66.104,0.4595,58.445
828,66.709,0.4619,59.24
829,66.089,0.4842,60.529
830,64.395,0.4732,60.082
831,64.762,0.4666,59.328
832,64.869,0.4528,60.391
833,65.023,0.4422,59.118
834,65.084,0.4187,60.79
835,66.404,0.412,58.467
836,65.136,0.4289,59.557
837,66.004,0.4472,59.055
838,66.795,0.4444,58.005
839,66.958,0.425,57.536
840,68.272,0.4285,57.384
841,68.172,0.4484,58.365
842,67.669,0.4594,58.966
843,66.669,0.4433,58.628
844,66.021,0.4437,57.47
845,67.33,0.4331,55.825
846,66.003,0.4295,57.76
847,65.685,0.4312,56.879
848,66.169,0.4331,57.845
849,68.324,0.4476,57.544
850,69.118,0.4416,59.19
851,68.812,0.4413,57.954
852,68.82,0.4348,59.976
853,67.877,0.4152,62.213
854,68.262,0.43,62.997
855,69.37,0.423,62.42
856,69.388,0.4138,62.342
857,68.787,0.4238,61.157
858,69.5,0.4112,61.752
859,68.737,0.4185,60.488
860,68.499,0.4201,61.628
861,68.439,0.4144,62.044
862,67.637,0.3964,63.265
863,68.764,0.3852,60.621
864,69.361,0.4064,62.742
865,69.272,0.4011,61.173
866,70.049,0.4057,60.3
867,71.528,0.4011,62.187
868,70.695,0.3818,61.619
869,70.273,0.3858,61.853
870,68.694,0.3941,60.86
871,68.431,0.3966,62.57
872,68.267,0.3996,61.259
873,68.637,0.4111,60.085
874,68.415,0.4143,59.602
875,68.65,0.3976,60.03
876,68.972,0.3988,60.425
877,68.367,0.3844,62.364
878,68.85,0.381,62.475
879,68.595,0.3919,61.466
880,68.78,0.3936,64.105
881,68.677,0.3917,62.333
882,67.178,0.4147,64.153
883,67.597,0.3825,62.735
884,68.831,0.4079,62.73
885,69.337,0.3908,63.26
886,68.556,0.3914,61.402
887,69.468,0.3817,59.883
888,69.371,0.4,60.299
889,68.011,0.3979,59.188
890,67.288,0.403,57.422
891,66.07,0.4064,56.406
892,65.938,0.4085,56.393
893,66.21,0.4114,57.094
894,66.713,0.4043,57.118
895,66.708,0.4098,55.125
896,67.394,0.4096,53.356
897,69.126,0.4031,54.6
898,68.941,0.4126,56.461
899,67.3,0.4191,58.438
900,67.207,0.4196,60.164
901,67.427,0.3936,60.7
902,66.583,0.4062,59.863
903,66.572,0.3856,60.947
904,67.46,0.4041,59.885
905,68.078,0.4007,58.509
906,66.539,0.392,59.853
907,65.487,0.3786,58.877
908,66.241,0.3663,62.335
909,66.687,0.3701,62.744
910,67.13,0.3975,62.298
911,67.31,0.4011,62.717
912,67.654,0.4077,62.213
913,67.48,0.4095,59.947
914,67.047,0.3888,60.754
915,66.976,0.4158,59.086
916,68.75,0.4202,56.751
917,69.677,0.4145,58.771
918,69.999,0.4094,59.898
919,69.736,0.4172,59.139
920,69.796,0.4211,58.706
921,70.193,0.4308,58.207
922,68.495,0.4423,57.459
923,67.245,0.4543,59.832
924,66.618,0.4386,60.168
925,66.997,0.4285,60.148
926,67.636,0.4183,60.477
927,68.635,0.4266,61.835
928,69.33,0.4291,61.203
929,68.355,0.4296,60.909
930,69.664,0.4463,61.61
931,68.433,0.4517,61.807
932,69.146,0.445,63.551
933,69.398,0.4488,61.349
934,70.464,0.4399,62.223
