Episode,Scenario,Condition,CM_LateralDeviation_m,Observed_LateralDeviation_m,RelativeDegradation_percent
84,A,RA,0.3853,0.5868,52.32
85,A,RM,0.3957,0.5568,40.71
85,A,RA,0.3899,0.5848,49.98
86,A,RM,0.3908,0.5339,36.61
86,A,RA,0.398,0.6017,51.17
87,A,RM,0.3935,0.5653,43.67
87,A,RA,0.3955,0.6169,55.99
88,A,RM,0.38,0.5186,36.46
88,A,RA,0.3941,0.628,59.35
89,A,RM,0.4031,0.5361,33.01
89,A,RA,0.387,0.6133,58.47
90,A,RM,0.4061,0.5352,31.77
90,A,RA,0.4068,0.5599,37.65
91,A,RM,0.3797,0.5441,43.29
91,A,RA,0.3889,0.5926,52.39
92,A,RM,0.4024,0.5611,39.44
92,A,RA,0.3953,0.5954,50.62
93,A,RM,0.4051,0.5474,35.13
93,A,RA,0.3832,0.5986,56.2
94,A,RM,0.4031,0.5511,36.72
94,A,RA,0.3849,0.5976,55.27
95,A,RM,0.388,0.5118,31.91
95,A,RA,0.4027,0.5761,43.07
96,A,RM,0.3938,0.5286,34.24
96,A,RA,0.394,0.6337,60.83
97,A,RM,0.3849,0.5438,41.28
97,A,RA,0.3858,0.58,50.34
98,A,RM,0.3869,0.537,38.8
98,A,RA,0.3829,0.5958,55.62
99,A,RM,0.3891,0.5208,33.86
99,A,RA,0.3874,0.6052,56.2
100,A,RM,0.3869,0.5187,34.06
100,A,RA,0.4048,0.5709,41.05
101,A,RM,0.3885,0.5279,35.87
101,A,RA,0.3919,0.5849,49.24
102,A,RM,0.3837,0.5586,45.57
102,A,RA,0.4012,0.6214,54.89
103,A,RM,0.3944,0.5186,31.47
103,A,RA,0.3964,0.5912,49.15
104,A,RM,0.3903,0.5129,31.42
104,A,RA,0.3969,0.6004,51.28
105,A,RM,0.4034,0.5187,28.59
105,A,RA,0.3793,0.5636,48.61
106,A,RM,0.3949,0.5324,34.81
106,A,RA,0.3807,0.6016,58.03
107,A,RM,0.3899,0.5602,43.69
107,A,RA,0.3936,0.5945,51.02
108,A,RM,0.3833,0.5599,46.08
108,A,RA,0.395,0.5981,51.4
109,A,RM,0.3998,0.5177,29.49
109,A,RA,0.3966,0.6074,53.14
110,A,RM,0.3888,0.53,36.32
110,A,RA,0.395,0.5968,51.07
111,A,RM,0.3968,0.5521,39.14
111,A,RA,0.396,0.5799,46.45
112,A,RM,0.3911,0.5261,34.5
112,A,RA,0.3851,0.5814,50.97
113,A,RM,0.3951,0.5613,42.05
113,A,RA,0.3981,0.6068,52.43
114,A,RM,0.3999,0.5376,34.42
114,A,RA,0.4008,0.5957,48.62
115,A,RM,0.3854,0.518,34.4
115,A,RA,0.3963,0.5825,46.98
116,A,RM,0.3849,0.5239,36.12
116,A,RA,0.3975,0.6349,59.71
117,A,RM,0.3968,0.5269,32.81
117,A,RA,0.3907,0.5977,52.98
118,A,RM,0.3838,0.555,44.59
118,A,RA,0.4013,0.6251,55.75
119,A,RM,0.3883,0.5408,39.29
119,A,RA,0.4005,0.611,52.57
120,A,RM,0.3872,0.5506,42.2
120,A,RA,0.3785,0.6079,60.62
121,A,RM,0.3954,0.543,37.31
121,A,RA,0.3905,0.6009,53.85
122,A,RM,0.3932,0.5298,34.74
122,A,RA,0.3967,0.5847,47.38
123,A,RM,0.3746,0.5509,47.06
123,A,RA,0.3903,0.6274,60.74
124,A,RM,0.3942,0.5263,33.53
124,A,RA,0.4019,0.5873,46.14
125,A,RM,0.3903,0.5241,34.29
125,A,RA,0.3945,0.5933,50.41
126,A,RM,0.3886,0.5202,33.86
126,A,RA,0.391,0.6151,57.32
127,A,RM,0.3951,0.5319,34.61
127,A,RA,0.3877,0.6117,57.76
128,A,RM,0.403,0.5747,42.62
128,A,RA,0.3848,0.5728,48.84
129,A,RM,0.3877,0.5508,42.07
129,A,RA,0.3996,0.5551,38.92
130,A,RM,0.3976,0.521,31.02
130,A,RA,0.3954,0.5855,48.08
131,A,RM,0.3964,0.5347,34.9
131,A,RA,0.3935,0.6165,56.65
132,A,RM,0.4003,0.5243,30.98
132,A,RA,0.3907,0.5886,50.64
133,A,RM,0.3839,0.5295,37.94
133,A,RA,0.404,0.613,51.72
134,A,RM,0.3935,0.552,40.28
134,A,RA,0.3844,0.5905,53.6
135,A,RM,0.393,0.54,37.39
135,A,RA,0.3996,0.5718,43.08
136,A,RM,0.3937,0.5637,43.18
136,A,RA,0.3978,0.6022,51.4
137,A,RM,0.3902,0.5428,39.11
137,A,RA,0.4001,0.5722,43.01
138,A,RM,0.3947,0.5498,39.31
138,A,RA,0.3845,0.6044,57.19
139,A,RM,0.3884,0.5281,35.97
139,A,RA,0.4037,0.5947,47.28
140,A,RM,0.4038,0.5098,26.27
140,A,RA,0.3866,0.5597,44.78
141,A,RM,0.4095,0.5425,32.48
141,A,RA,0.3961,0.61,53.98
142,A,RM,0.3954,0.5151,30.27
142,A,RA,0.38,0.6198,63.11
143,A,RM,0.3968,0.5192,30.83
143,A,RA,0.3858,0.5998,55.47
144,A,RM,0.3858,0.5617,45.59
144,A,RA,0.3974,0.5956,49.86
145,A,RM,0.382,0.5688,48.92
145,A,RA,0.3905,0.574,47.0
146,A,RM,0.4108,0.5232,27.35
146,A,RA,0.3976,0.6017,51.34
147,A,RM,0.3967,0.5422,36.7
147,A,RA,0.3921,0.6041,54.06
148,A,RM,0.4003,0.5192,29.72
148,A,RA,0.3859,0.5674,47.03
149,A,RM,0.3908,0.5575,42.68
149,A,RA,0.3832,0.6061,58.15
150,A,RM,0.3996,0.5599,40.13
150,A,RA,0.3858,0.5755,49.17
151,A,RM,0.3982,0.5338,34.07
151,A,RA,0.3968,0.6022,51.77
152,A,RM,0.399,0.5449,36.55
152,A,RA,0.3951,0.6003,51.93
153,A,RM,0.4052,0.5361,32.29
153,A,RA,0.3932,0.5947,51.25
154,A,RM,0.3885,0.5592,43.94
154,A,RA,0.3813,0.5862,53.73
155,A,RM,0.3969,0.5254,32.36
155,A,RA,0.3926,0.6141,56.43
156,A,RM,0.4018,0.5435,35.25
156,A,RA,0.3809,0.5638,48.01
157,A,RM,0.3837,0.5543,44.46
157,A,RA,0.4063,0.6108,50.34
158,A,RM,0.3913,0.5266,34.59
158,A,RA,0.3981,0.6358,59.72
159,A,RM,0.3909,0.5321,36.12
159,A,RA,0.4,0.5689,42.23
160,A,RM,0.4054,0.5292,30.55
160,A,RA,0.3996,0.5819,45.62
161,A,RM,0.3896,0.5555,42.57
161,A,RA,0.3931,0.5489,39.63
162,A,RM,0.3982,0.5152,29.36
162,A,RA,0.397,0.591,48.88
163,A,RM,0.4135,0.5224,26.34
163,A,RA,0.3844,0.6177,60.69
164,A,RM,0.4051,0.5503,35.84
164,A,RA,0.3877,0.5697,46.93
165,A,RM,0.408,0.4972,21.87
165,A,RA,0.3846,0.6015,56.38
166,A,RM,0.399,0.5232,31.13
166,A,RA,0.3848,0.6185,60.73
167,A,RM,0.3848,0.5486,42.56
167,A,RA,0.392,0.6139,56.62
168,A,RM,0.3961,0.53,33.82
168,A,RA,0.399,0.5638,41.31
169,A,RM,0.4027,0.5043,25.23
169,A,RA,0.3998,0.6028,50.75
170,A,RM,0.4032,0.5252,30.24
170,A,RA,0.4002,0.6132,53.24
171,A,RM,0.401,0.5557,38.58
171,A,RA,0.3889,0.6155,58.27
172,A,RM,0.3846,0.554,44.05
172,A,RA,0.3824,0.5961,55.86
173,A,RM,0.3989,0.5324,33.45
173,A,RA,0.3978,0.591,48.56
174,A,RM,0.3856,0.5264,36.51
174,A,RA,0.4099,0.5925,44.53
175,A,RM,0.3994,0.4865,21.81
175,A,RA,0.4012,0.6177,53.98
176,A,RM,0.3907,0.5426,38.9
176,A,RA,0.3879,0.5873,51.4
177,A,RM,0.3813,0.5284,38.57
177,A,RA,0.395,0.586,48.34
178,A,RM,0.3991,0.5573,39.63
178,A,RA,0.3845,0.5839,51.87
179,A,RM,0.4067,0.5167,27.05
179,A,RA,0.3987,0.5876,47.35
180,A,RM,0.3934,0.5292,34.55
180,A,RA,0.403,0.6196,53.75
181,A,RM,0.4045,0.5569,37.67
181,A,RA,0.3944,0.6093,54.5
182,A,RM,0.4009,0.539,34.44
182,A,RA,0.3989,0.5658,41.87
183,A,RM,0.3933,0.5311,35.05
183,A,RA,0.3827,0.6045,57.94
184,A,RM,0.4042,0.5372,32.88
184,A,RA,0.3901,0.5886,50.87
185,A,RM,0.3834,0.5547,44.66
185,A,RA,0.3811,0.5672,48.84
186,A,RM,0.388,0.584,50.53
186,A,RA,0.3961,0.6057,52.92
187,A,RM,0.3934,0.4951,25.84
187,A,RA,0.4054,0.583,43.81
188,A,RM,0.4131,0.5189,25.64
188,A,RA,0.4032,0.6139,52.26
189,A,RM,0.4016,0.5676,41.34
189,A,RA,0.4037,0.5879,45.61
190,A,RM,0.3876,0.5395,39.18
190,A,RA,0.3969,0.5851,47.4
191,A,RM,0.3958,0.5363,35.49
191,A,RA,0.4,0.5883,47.07
192,A,RM,0.4002,0.5096,27.33
192,A,RA,0.4009,0.582,45.18
193,A,RM,0.387,0.5399,39.51
193,A,RA,0.3953,0.5942,50.32
194,A,RM,0.3857,0.4968,28.8
194,A,RA,0.3971,0.6083,53.19
195,A,RM,0.3973,0.5314,33.77
195,A,RA,0.3996,0.6094,52.51
196,A,RM,0.4158,0.5527,32.94
196,A,RA,0.385,0.5953,54.64
197,A,RM,0.3876,0.562,45.01
197,A,RA,0.384,0.5944,54.77
198,A,RM,0.3932,0.5355,36.19
198,A,RA,0.3812,0.5767,51.27
199,A,RM,0.4013,0.5259,31.05
199,A,RA,0.4026,0.5721,42.11
200,A,RM,0.4056,0.5449,34.35
200,A,RA,0.3897,0.5573,43.02
201,A,RM,0.367,0.5039,37.31
201,A,RA,0.3869,0.6074,56.99
202,A,RM,0.3963,0.5433,37.1
202,A,RA,0.3851,0.6033,56.67
203,A,RM,0.3864,0.5514,42.72
203,A,RA,0.3872,0.6054,56.36
204,A,RM,0.3921,0.5484,39.88
204,A,RA,0.3844,0.5811,51.18
205,A,RM,0.4006,0.5499,37.25
205,A,RA,0.3916,0.6098,55.72
206,A,RM,0.4078,0.5245,28.62
206,A,RA,0.3932,0.6042,53.66
207,A,RM,0.4089,0.5318,30.06
207,A,RA,0.3873,0.5775,49.11
208,A,RM,0.3885,0.5347,37.63
208,A,RA,0.3965,0.5793,46.12
209,A,RM,0.3841,0.5138,33.78
209,A,RA,0.4135,0.5812,40.55
210,A,RM,0.3873,0.5234,35.13
210,A,RA,0.39,0.5726,46.8
211,A,RM,0.3939,0.537,36.34
211,A,RA,0.3942,0.6028,52.9
212,A,RM,0.3921,0.5569,42.03
212,A,RA,0.3877,0.569,46.76
213,A,RM,0.3943,0.5209,32.1
213,A,RA,0.396,0.5997,51.46
214,A,RM,0.3894,0.5364,37.73
214,A,RA,0.397,0.5788,45.8
215,A,RM,0.3944,0.5491,39.23
215,A,RA,0.3866,0.5813,50.38
216,A,RM,0.4004,0.5609,40.11
216,A,RA,0.3938,0.5767,46.46
217,A,RM,0.3948,0.5075,28.53
217,A,RA,0.3696,0.5883,59.16
218,A,RM,0.4144,0.5338,28.81
218,A,RA,0.3975,0.5901,48.43
219,A,RM,0.3847,0.5195,35.06
219,A,RA,0.3896,0.6046,55.2
220,A,RM,0.3909,0.532,36.1
220,A,RA,0.3931,0.592,50.58
221,A,RM,0.4016,0.5454,35.79
221,A,RA,0.3888,0.5853,50.54
222,A,RM,0.3937,0.5792,47.14
222,A,RA,0.3967,0.5629,41.89
223,A,RM,0.3941,0.5573,41.41
223,A,RA,0.4245,0.6115,44.07
224,A,RM,0.398,0.5481,37.72
224,A,RA,0.407,0.6116,50.24
225,A,RM,0.4073,0.5236,28.55
225,A,RA,0.4079,0.5887,44.32
226,A,RM,0.3936,0.5737,45.77
226,A,RA,0.4124,0.6186,50.0
227,A,RM,0.3831,0.5223,36.32
227,A,RA,0.3936,0.6188,57.2
228,A,RM,0.3899,0.5353,37.29
228,A,RA,0.397,0.6221,56.69
229,A,RM,0.3933,0.5583,41.96
229,A,RA,0.392,0.5907,50.71
230,A,RM,0.409,0.5248,28.29
230,A,RA,0.3875,0.6125,58.06
231,A,RM,0.4072,0.5399,32.57
231,A,RA,0.3833,0.6128,59.89
232,A,RM,0.3873,0.5413,39.75
232,A,RA,0.4077,0.5974,46.52
233,A,RM,0.3888,0.531,36.57
233,A,RA,0.3878,0.6108,57.5
234,A,RM,0.3869,0.5331,37.78
234,A,RA,0.3885,0.623,60.37
235,A,RM,0.4085,0.5314,30.09
235,A,RA,0.3846,0.5846,52.01
236,A,RM,0.3971,0.5542,39.54
236,A,RA,0.4047,0.5757,42.26
237,A,RM,0.4078,0.4911,20.42
237,A,RA,0.3987,0.6082,52.54
238,A,RM,0.3895,0.5389,38.34
238,A,RA,0.3903,0.5902,51.21
239,A,RM,0.3964,0.5198,31.13
239,A,RA,0.4018,0.6443,60.36
240,A,RM,0.3855,0.5138,33.28
240,A,RA,0.4032,0.5826,44.49
241,A,RM,0.3899,0.5375,37.87
241,A,RA,0.3877,0.6,54.78
242,A,RM,0.394,0.5252,33.31
242,A,RA,0.3895,0.5851,50.21
243,A,RM,0.4041,0.5379,33.11
243,A,RA,0.4046,0.5713,41.2
244,A,RM,0.4056,0.5218,28.65
244,A,RA,0.3997,0.6209,55.35
245,A,RM,0.3968,0.5403,36.17
245,A,RA,0.388,0.597,53.86
246,A,RM,0.3985,0.5312,33.29
246,A,RA,0.3949,0.5966,51.08
247,A,RM,0.3942,0.5156,30.81
247,A,RA,0.4029,0.6097,51.31
248,A,RM,0.3884,0.4942,27.25
248,A,RA,0.3957,0.5984,51.23
249,A,RM,0.406,0.5132,26.42
249,A,RA,0.4063,0.5664,39.4
250,A,RM,0.4004,0.5344,33.47
250,A,RA,0.3976,0.5692,43.16
251,A,RM,0.3957,0.5634,42.41
251,A,RA,0.3894,0.5905,51.66
252,A,RM,0.4013,0.5321,32.6
252,A,RA,0.3956,0.5857,48.03
253,A,RM,0.3981,0.5445,36.77
253,A,RA,0.3895,0.6038,55.01
254,A,RM,0.3915,0.5318,35.81
254,A,RA,0.3867,0.5727,48.11
255,A,RM,0.408,0.5768,41.36
255,A,RA,0.3996,0.5759,44.1
256,A,RM,0.3942,0.5453,38.32
256,A,RA,0.3988,0.598,49.94
257,A,RM,0.4007,0.5397,34.69
257,A,RA,0.4058,0.5858,44.34
258,A,RM,0.3882,0.5223,34.55
258,A,RA,0.381,0.5839,53.26
259,A,RM,0.3936,0.5207,32.29
259,A,RA,0.3991,0.5934,48.7
260,A,RM,0.3885,0.5369,38.21
260,A,RA,0.3878,0.5725,47.61
261,A,RM,0.3972,0.5665,42.64
261,A,RA,0.4041,0.5789,43.25
262,A,RM,0.397,0.5215,31.38
262,A,RA,0.3935,0.5993,52.31
263,A,RM,0.3909,0.5666,44.95
263,A,RA,0.3857,0.594,54.01
264,A,RM,0.3842,0.5141,33.79
264,A,RA,0.4057,0.5674,39.86
265,A,RM,0.3899,0.5527,41.78
265,A,RA,0.3898,0.5876,50.77
266,A,RM,0.3978,0.4889,22.89
266,A,RA,0.3983,0.6211,55.95
267,A,RM,0.3864,0.5339,38.16
267,A,RA,0.4065,0.6129,50.78
268,A,RM,0.4062,0.5201,28.02
268,A,RA,0.3942,0.6036,53.11
269,A,RM,0.3906,0.5399,38.21
269,A,RA,0.4069,0.5933,45.82
270,A,RM,0.4012,0.5351,33.37
270,A,RA,0.3991,0.6038,51.31
271,A,RM,0.3893,0.5206,33.74
271,A,RA,0.3956,0.6296,59.16
272,A,RM,0.3926,0.5282,34.55
272,A,RA,0.3914,0.5906,50.88
273,A,RM,0.3785,0.548,44.78
273,A,RA,0.3882,0.5976,53.93
274,A,RM,0.3889,0.5413,39.2
274,A,RA,0.3891,0.554,42.39
275,A,RM,0.3965,0.5588,40.93
275,A,RA,0.3995,0.5992,49.97
276,A,RM,0.3849,0.5326,38.36
276,A,RA,0.3951,0.5887,49.02
277,A,RM,0.4005,0.5452,36.15
277,A,RA,0.3999,0.5748,43.73
278,A,RM,0.3934,0.5535,40.68
278,A,RA,0.3967,0.5702,43.72
279,A,RM,0.3929,0.5334,35.76
279,A,RA,0.3833,0.607,58.35
280,A,RM,0.3927,0.5139,30.86
280,A,RA,0.4018,0.6009,49.55
281,A,RM,0.3846,0.5414,40.78
281,A,RA,0.3967,0.5977,50.68
282,A,RM,0.3913,0.5332,36.24
282,A,RA,0.397,0.5797,46.01
283,A,RM,0.4051,0.5646,39.38
283,A,RA,0.4094,0.5532,35.13
284,A,RM,0.385,0.5578,44.88
284,A,RA,0.3943,0.5843,48.17
285,A,RM,0.3976,0.5251,32.07
285,A,RA,0.4071,0.5758,41.44
286,A,RM,0.407,0.508,24.8
286,A,RA,0.3956,0.5763,45.67
287,A,RM,0.4015,0.5411,34.77
287,A,RA,0.3989,0.5815,45.76
288,A,RM,0.4019,0.5482,36.4
288,A,RA,0.3942,0.6066,53.89
289,A,RM,0.3981,0.5428,36.35
289,A,RA,0.396,0.5973,50.83
290,A,RM,0.3812,0.5556,45.74
290,A,RA,0.3999,0.607,51.77
291,A,RM,0.3962,0.5301,33.78
291,A,RA,0.3897,0.6064,55.59
292,A,RM,0.4099,0.5304,29.39
292,A,RA,0.3988,0.6163,54.54
293,A,RM,0.3955,0.5643,42.7
293,A,RA,0.3894,0.5902,51.55
294,A,RM,0.3955,0.5402,36.57
294,A,RA,0.399,0.6051,51.64
295,A,RM,0.4002,0.5246,31.1
295,A,RA,0.3957,0.5561,40.52
296,A,RM,0.3913,0.5494,40.42
296,A,RA,0.4089,0.5495,34.38
297,A,RM,0.3938,0.5456,38.55
297,A,RA,0.3787,0.5878,55.23
298,A,RM,0.3957,0.5216,31.81
298,A,RA,0.3892,0.6096,56.62
299,A,RM,0.3788,0.4967,31.12
299,A,RA,0.3937,0.6041,53.46
300,A,RM,0.395,0.5318,34.64
300,A,RA,0.3969,0.5939,49.65
301,A,RM,0.3927,0.5488,39.75
301,A,RA,0.3946,0.5916,49.94
302,A,RM,0.404,0.5331,31.96
302,A,RA,0.396,0.6036,52.43
303,A,RM,0.3956,0.5095,28.78
303,A,RA,0.3842,0.5696,48.27
304,A,RM,0.3821,0.5102,33.51
304,A,RA,0.4025,0.6204,54.15
305,A,RM,0.3935,0.548,39.25
305,A,RA,0.3923,0.5786,47.48
306,A,RM,0.3987,0.5314,33.28
306,A,RA,0.3892,0.569,46.2
307,A,RM,0.3981,0.5297,33.06
307,A,RA,0.3827,0.5739,49.96
308,A,RM,0.3799,0.5644,48.56
308,A,RA,0.4083,0.5844,43.11
309,A,RM,0.402,0.533,32.58
309,A,RA,0.3849,0.5765,49.77
310,A,RM,0.4024,0.5391,33.99
310,A,RA,0.3807,0.5843,53.5
311,A,RM,0.3974,0.5366,35.01
311,A,RA,0.399,0.5911,48.14
312,A,RM,0.4019,0.5269,31.09
312,A,RA,0.3845,0.5667,47.41
313,A,RM,0.3993,0.5642,41.29
313,A,RA,0.3792,0.6215,63.88
314,A,RM,0.3937,0.5245,33.23
314,A,RA,0.3953,0.6128,55.03
315,A,RM,0.3968,0.5362,35.14
315,A,RA,0.4016,0.5737,42.88
316,A,RM,0.3951,0.5182,31.17
316,A,RA,0.3855,0.5988,55.31
317,A,RM,0.4009,0.5491,36.97
317,A,RA,0.4122,0.5644,36.9
318,A,RM,0.3967,0.5297,33.52
318,A,RA,0.3956,0.6363,60.86
319,A,RM,0.3948,0.524,32.72
319,A,RA,0.399,0.5875,47.22
320,A,RM,0.3935,0.5051,28.36
320,A,RA,0.3868,0.5773,49.23
321,A,RM,0.4014,0.5568,38.73
321,A,RA,0.396,0.6011,51.79
322,A,RM,0.3933,0.5622,42.95
322,A,RA,0.3834,0.6047,57.72
323,A,RM,0.3873,0.5505,42.16
323,A,RA,0.3976,0.6218,56.39
324,A,RM,0.3863,0.5294,37.04
324,A,RA,0.4009,0.6076,51.55
325,A,RM,0.3975,0.5155,29.7
325,A,RA,0.3959,0.6125,54.72
326,A,RM,0.4007,0.5568,38.95
326,A,RA,0.3838,0.5665,47.6
327,A,RM,0.3923,0.5217,33.0
327,A,RA,0.3864,0.6056,56.74
328,A,RM,0.4028,0.5285,31.2
328,A,RA,0.3905,0.571,46.21
329,A,RM,0.3887,0.5226,34.44
329,A,RA,0.4003,0.613,53.16
330,A,RM,0.3877,0.5604,44.54
330,A,RA,0.3923,0.6101,55.55
331,A,RM,0.3819,0.5244,37.31
331,A,RA,0.3864,0.6052,56.62
332,A,RM,0.402,0.5286,31.5
332,A,RA,0.3972,0.5827,46.73
333,A,RM,0.4198,0.5252,25.09
333,A,RA,0.3826,0.589,53.96
334,A,RM,0.4039,0.5431,34.45
334,A,RA,0.3873,0.6076,56.88
